,timestamp,course,motivated_required,motivated_staycurrenttech,motivated_advancecareer,motivated_changecareer,motivated_developprofession,motivated_jobdisplacement,motivated_relocation,motivated_itcert,motivated_financial,motivated_enrichment,motivated_curiosity,participated_openhouse,participated_instantdecision,participated_oncampusinfo,participated_virtualinfo,participated_womenwhodare,participated_collegefair,experienced_compclass,experienced_compclub,experienced_compcompetition,experienced_compcampschool,experienced_compcampsummer,experienced_compclassap,experienced_compclassdual,experienced_familyfriendinfluence,experienced_familyfriendinfield,experienced_hsstaff,experienced_employerinfluence,heard_ccmwebsite,heard_billboard,heard_television,heard_radio,heard_socialmedia,heard_event,heard_familyfriend,heard_employer,heard_ccmstudent,heard_ccmalumni,heard_highschool,decision_cost,decision_convenience,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_classsize,decision_opportunities,program,informed_hscounselor,informed_ccmwebsite,informed_ccmadmissions,informed_ccmcounselor,informed_employer,informed_other,gender,ethnicity,age
69,2020/09/15 12:02:14 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,fashion design  ,No,No,No,Yes,No,No,Woman,Black/African American,25-34
70,2020/09/15 12:26:04 PM EST,CMP 101 Computer Information Literacy,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,No,No,No,No,No,No,Man,White/Caucasian,21-24
71,2020/09/15 1:43:52 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Criminal Justice,No,No,No,Yes,No,No,Man,White/Caucasian,21-24
72,2020/09/15 1:51:30 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,Woman,White/Caucasian,25-34
73,2020/09/15 2:07:02 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Communication,No,No,No,No,No,No,Woman,White/Caucasian,21-24
74,2020/09/15 3:23:47 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Mathematics,No,No,Yes,Yes,No,Don't recall,Woman,White/Caucasian,19-20
75,2020/09/15 4:05:32 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Human Services,No,No,No,Yes,No,No,Woman,White/Caucasian,21-24
76,2020/09/15 4:20:03 PM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Not Sure,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,No,No,No,Yes,No,No,Woman,White/Caucasian,18 and younger
77,2020/09/15 8:44:10 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Early Childhood Education,No,No,No,No,No,No,Woman,White/Caucasian,19-20
78,2020/09/15 9:46:52 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Radiography,No,No,No,No,No,No,Woman,White/Caucasian,21-24
